Description,Gross Mass Measure Unit Code,Net Weight Measure,Item Charge Amount,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Commodity Code,Freight Payment Code,CMR,Consignee Short Name,Consignor Short Name,Sequence Numeric,Statistical Value Amount,Transaction Nature Code,Description,Gross Mass Measure,Gross Mass Measure Unit Code,Net Weight Measure,Tariff Quantity,Tariff Quantity Unit Code,Item Charge Amount,Customs Valuation Method Code,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Cus Code,Invoice Number,Commodity Code,Preference,Section,VVA under-calculation,VVA over-calculation,VatValue,VATRate,Customs Value,DTF.Duty.Amount,DTF.Duty.Type,DTF.Duty.Rate,DTF.Duty.Base,DTF.Duty.Relieved,DTF.VAT.Amount,DTF.VAT.Type,DTF.VAT.Rate,DTF.VAT.Base
GARMENTS,,17.9,455.24,DK,DK,0,,,4911109000,,,FASHION COMP RETAIL,FASHION COMP A/S,2,556.96,,GARMENTS,28.512,,17.9,1592,,455.24,1,DK,DK,0,,,5100,106193900,4911109000,300,X,0.00,413.84,,,455.24,22.76,Duty,0.05,,0,91.048,,,
GARMENTS,,159.6,242.61,SI,SI,0,,,4819300000,,,FASHION COMP RETAIL,FASHION COMP A/S,3,296.82,,GARMENTS,176.4,,159.6,2800,,242.61,1,SI,SI,0,,,5100,106193889,4819300000,300,X,107.12,0.00,,,242.61,12.13,Duty,0.05,,0,48.522,,,
GARMENTS,,12.4,55,VN,,0,,,4202921900,,,FASHION COMP RETAIL,FASHION COMP A/S,4,67.29,,GARMENTS,14.4,,12.4,100,,55,1,VN,,0,,,5100,106193892,4202921900,100,VIII,0.00,450.39,,,55,0.00,,,,0,11,,,
GARMENTS,,11.232,472.91,CN,,0,,,6104420000,,,FASHION COMP WHOLESA,FASHION COMP A/S,1,475.36,,GARMENTS,12.312,,11.232,36,,472.91,1,CN,,0,,,5100,106193774,6104420000,100,XI,0.00,393.18,,,472.91,0.00,,,,0,94.582,,,
GARMENTS,,6.156,216.38,CN,,0,,,6104430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,2,217.5,,GARMENTS,6.894,,6.156,18,,216.38,1,CN,,0,,,5100,106193774,6104430000,100,XI,182.52,0.00,,,216.38,0.00,,,,0,43.276,,,
GARMENTS,,2.196,78.72,CN,,0,,,6104530000,,,FASHION COMP WHOLESA,FASHION COMP A/S,3,79.13,,GARMENTS,2.844,,2.196,12,,78.72,1,CN,,0,,,5100,106193764,6104530000,100,XI,0.00,477.16,,,78.72,0.00,,,,0,15.744,,,
GARMENTS,,0.708,32.83,CN,,0,,,6104620000,,,FASHION COMP WHOLESA,FASHION COMP A/S,4,33,,GARMENTS,0.84,,0.708,4,,32.83,1,CN,,0,,,4000,106193774,6104620000,100,XI,0.00,461.92,,,32.83,0.00,,,,0.00,6.566,,,
GARMENTS,,1.729,124.96,CN,,0,,,6104630000,,,FASHION COMP WHOLESA,FASHION COMP A/S,5,125.61,,GARMENTS,2.644,,1.729,27,,124.96,1,CN,,0,,,4000,106193766,6104630000,100,XI,131.22,0.00,,,124.96,0.00,,,,0.00,24.992,,,
GARMENTS,,10.145,740.1,CN,,0,,,6106100000,,,FASHION COMP WHOLESA,FASHION COMP A/S,6,743.94,,GARMENTS,12.455,,10.145,105,,740.1,1,CN,,0,,,4000,106193774,6106100000,100,XI,102.44,0.00,,,740.1,0.00,,,,0.00,148.02,,,
GARMENTS,,99.707,3057.15,CN,,0,,,6107110000,,,FASHION COMP WHOLESA,FASHION COMP A/S,7,3073,,GARMENTS,112.99,,99.707,405,,3057.15,1,CN,,0,,,4000,106193768,6107110000,100,XI,256.20,0.00,,,3057.15,0.00,,,,0.00,611.43,,,
