Description,Gross Mass Measure Unit Code,Net Weight Measure,Item Charge Amount,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Commodity Code,Freight Payment Code,CMR,Consignee Short Name,Consignor Short Name,Sequence Numeric,Statistical Value Amount,Transaction Nature Code,Description,Gross Mass Measure,Gross Mass Measure Unit Code,Net Weight Measure,Tariff Quantity,Tariff Quantity Unit Code,Item Charge Amount,Customs Valuation Method Code,Non Preferential Country Code,Preferential Country Code,Valuation Adjustment Code,Taric Additional Code,National Additional Code,Cus Code,Invoice Number,Commodity Code,Preference,Section,VVA under-calculation,VVA over-calculation,VatValue,VATRate,Customs Value,DTF.Duty.Amount,DTF.Duty.Type,DTF.Duty.Rate,DTF.Duty.Base,DTF.Duty.Relieved,DTF.VAT.Amount,DTF.VAT.Type,DTF.VAT.Rate,DTF.VAT.Base
GARMENTS,,1.925,32,BD,,0,,,6204623990,,,FASHION COMP WHOLESA,FASHION COMP A/S,30,33.5,,GARMENTS,2.21,,1.925,5,,32,1,BD,,0,,,4000,106198291,6204623990,100,XI,117.21,0.00,,,32,0.00,,,,0.00,6.4,,,
GARMENTS,,0.247,6.4,BD,,0,,,6204691890,,,FASHION COMP WHOLESA,FASHION COMP A/S,31,6.7,,GARMENTS,0.3,,0.247,1,,6.4,1,BD,,0,,,4000,106198291,6204691890,100,XI,192.06,0.00,,,6.4,0.00,,,,0.00,1.28,,,
GARMENTS,,2.507,63,BD,,0,,,6205200090,,,FASHION COMP WHOLESA,FASHION COMP A/S,32,65.95,,GARMENTS,2.714,,2.507,9,,63,1,BD,,0,,,4000,106198292,6205200090,100,XI,146.91,0.00,,,63,0.00,,,,0.00,12.6,,,
GARMENTS,,2.242,84,BD,,0,,,6205300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,33,87.93,,GARMENTS,2.622,,2.242,12,,84,1,BD,,0,,,4000,106198293,6205300000,100,XI,185.52,0.00,,,84,0.00,,,,0.00,16.8,,,
GARMENTS,,1.616,56,BD,,0,,,6206300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,34,58.62,,GARMENTS,1.952,,1.616,8,,56,1,BD,,0,,,4000,106198291,6206300090,100,XI,0.00,229.01,,,56,0.00,,,,0.00,11.2,,,
GARMENTS,,1.298,29.7,BD,,0,,,6206400000,,,FASHION COMP WHOLESA,FASHION COMP A/S,35,31.09,,GARMENTS,1.478,,1.298,6,,29.7,1,BD,,0,,,4000,106198291,6206400000,100,XI,0.00,328.56,,,29.7,0.00,,,,0.00,5.94,,,
GARMENTS,,3.387,81.2,CN,,0,,,6104430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,36,85,,GARMENTS,3.667,,3.387,14,,81.2,1,CN,,0,,,4000,106198291,6104430000,100,XI,0.00,460.28,,,81.2,0.00,,,,0.00,16.24,,,
GARMENTS,,0.232,5.8,CN,,0,,,6104440000,,,FASHION COMP WHOLESA,FASHION COMP A/S,37,6.07,,GARMENTS,0.252,,0.232,1,,5.8,1,CN,,0,,,4000,106198291,6104440000,100,XI,265.52,0.00,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.559,12,CN,,0,,,6104530000,,,FASHION COMP WHOLESA,FASHION COMP A/S,38,12.56,,GARMENTS,0.619,,0.559,3,,12,1,CN,,0,,,4000,106198291,6104530000,100,XI,0.00,259.87,,,12,0.00,,,,0.00,2.4,,,
GARMENTS,,1.303,32,CN,,0,,,6104630000,,,FASHION COMP WHOLESA,FASHION COMP A/S,39,33.5,,GARMENTS,1.445,,1.303,5,,32,1,CN,,0,,,4000,106198291,6104630000,100,XI,169.06,0.00,,,32,0.00,,,,0.00,6.4,,,
GARMENTS,,4.329,70.4,CN,,0,,,6104690010,,,FASHION COMP WHOLESA,FASHION COMP A/S,40,73.69,,GARMENTS,4.947,,4.329,11,,70.4,1,CN,,0,,,4000,106198291,6104690010,100,XI,0.00,413.77,,,70.4,0.00,,,,0.00,14.08,,,
GARMENTS,,0.16,11.6,CN,,0,,,6104690091,,,FASHION COMP WHOLESA,FASHION COMP A/S,41,12.14,,GARMENTS,0.213,,0.16,1,,11.6,1,CN,,0,,,4000,106198291,6104690091,100,XI,0.00,225.12,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,0.676,11.6,CN,,0,,,6106200000,,,FASHION COMP WHOLESA,FASHION COMP A/S,42,12.14,,GARMENTS,0.798,,0.676,4,,11.6,1,CN,,0,,,4000,106198291,6106200000,100,XI,0.00,485.02,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,0.098,2.9,CN,,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,43,3.04,,GARMENTS,0.118,,0.098,1,,2.9,1,CN,,0,,,4000,106198291,6109100010,100,XI,127.98,0.00,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,2.994,49.3,CN,,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,44,51.61,,GARMENTS,3.409,,2.994,17,,49.3,1,CN,,0,,,4000,106198291,6109902000,100,XI,0.00,308.02,,,49.3,0.00,,,,0.00,9.86,,,
GARMENTS,,0.756,5.8,CN,,0,,,6110309900,,,FASHION COMP WHOLESA,FASHION COMP A/S,45,6.07,,GARMENTS,0.796,,0.756,2,,5.8,1,CN,,0,,,4000,106198291,6110309900,100,XI,0.00,227.18,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.867,15.75,CN,,0,,,6112419000,,,FASHION COMP WHOLESA,FASHION COMP A/S,46,16.49,,GARMENTS,1.047,,0.867,9,,15.75,1,CN,,0,,,4000,106198291,6112419000,100,XI,265.24,0.00,,,15.75,0.00,,,,0.00,3.15,,,
GARMENTS,,0.183,4,CN,,0,,,6113009000,,,FASHION COMP WHOLESA,FASHION COMP A/S,47,4.19,,GARMENTS,0.203,,0.183,1,,4,1,CN,,0,,,4000,106198291,6113009000,100,XI,0.00,508.94,,,4,0.00,,,,0.00,0.8,,,
GARMENTS,,0.884,18.6,CN,,0,,,6114300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,48,19.47,,GARMENTS,0.964,,0.884,4,,18.6,1,CN,,0,,,4000,106198291,6114300000,100,XI,181.14,0.00,,,18.6,0.00,,,,0.00,3.72,,,
GARMENTS,,0.16,3.5,CN,,0,,,6115950000,,,FASHION COMP WHOLESA,FASHION COMP A/S,49,3.66,,GARMENTS,0.2,,0.16,2,,3.5,1,CN,,0,,,4000,106198291,6115950000,100,XI,142.93,0.00,,,3.5,0.00,,,,0.00,0.7,,,
GARMENTS,,3.32,69.6,CN,,0,,,6201301099,,,FASHION COMP WHOLESA,FASHION COMP A/S,50,72.86,,GARMENTS,3.4,,3.32,4,,69.6,1,CN,,0,,,4000,106198293,6201301099,100,XI,0.00,226.27,,,69.6,0.00,,,,0.00,13.92,,,
GARMENTS,,0.339,17.4,CN,,0,,,6202301099,,,FASHION COMP WHOLESA,FASHION COMP A/S,51,18.21,,GARMENTS,0.359,,0.339,1,,17.4,1,CN,,0,,,4000,106198291,6202301099,100,XI,172.51,0.00,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,0.942,12,CN,,0,,,6203439000,,,FASHION COMP WHOLESA,FASHION COMP A/S,52,12.56,,GARMENTS,1.002,,0.942,3,,12,1,CN,,0,,,4000,106198293,6203439000,100,XI,165.56,0.00,,,12,0.00,,,,0.00,2.4,,,
GARMENTS,,1.688,34.8,CN,,0,,,6204339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,53,36.43,,GARMENTS,1.904,,1.688,3,,34.8,1,CN,,0,,,4000,106198291,6204339000,100,XI,0.00,232.10,,,34.8,0.00,,,,0.00,6.96,,,
GARMENTS,,0.588,5.8,CN,,0,,,6204420090,,,FASHION COMP WHOLESA,FASHION COMP A/S,54,6.07,,GARMENTS,0.608,,0.588,1,,5.8,1,CN,,0,,,4000,106198291,6204420090,100,XI,138.38,0.00,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.238,5.8,CN,,0,,,6204430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,55,6.07,,GARMENTS,0.279,,0.238,1,,5.8,1,CN,,0,,,4000,106198291,6204430000,100,XI,0.00,405.72,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.476,8,CN,,0,,,6204520090,,,FASHION COMP WHOLESA,FASHION COMP A/S,56,8.37,,GARMENTS,0.516,,0.476,2,,8,1,CN,,0,,,4000,106198291,6204520090,100,XI,0.00,254.06,,,8,0.00,,,,0.00,1.6,,,
GARMENTS,,0.334,6.4,CN,,0,,,6204623990,,,FASHION COMP WHOLESA,FASHION COMP A/S,57,6.7,,GARMENTS,0.354,,0.334,1,,6.4,1,CN,,0,,,4000,106198291,6204623990,100,XI,111.00,0.00,,,6.4,0.00,,,,0.00,1.28,,,
GARMENTS,,0.365,18,CN,,0,,,6204631890,,,FASHION COMP WHOLESA,FASHION COMP A/S,58,18.84,,GARMENTS,0.405,,0.365,2,,18,1,CN,,0,,,4000,106198291,6204631890,100,XI,0.00,316.15,,,18,0.00,,,,0.00,3.6,,,
GARMENTS,,0.27,11.6,CN,,0,,,6204639090,,,FASHION COMP WHOLESA,FASHION COMP A/S,59,12.14,,GARMENTS,0.337,,0.27,1,,11.6,1,CN,,0,,,4000,106198291,6204639090,100,XI,0.00,273.98,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,0.919,19.2,CN,,0,,,6204691890,,,FASHION COMP WHOLESA,FASHION COMP A/S,60,20.1,,GARMENTS,1.12,,0.919,3,,19.2,1,CN,,0,,,4000,106198291,6204691890,100,XI,0.00,425.58,,,19.2,0.00,,,,0.00,3.84,,,
GARMENTS,,1.886,47.8,CN,,0,,,6206300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,61,50.04,,GARMENTS,2.073,,1.886,8,,47.8,1,CN,,0,,,4000,106198291,6206300090,100,XI,0.00,373.56,,,47.8,0.00,,,,0.00,9.56,,,
GARMENTS,,1.717,49.5,CN,,0,,,6206400000,,,FASHION COMP WHOLESA,FASHION COMP A/S,62,51.82,,GARMENTS,2.07,,1.717,10,,49.5,1,CN,,0,,,4000,106198291,6206400000,100,XI,0.00,200.94,,,49.5,0.00,,,,0.00,9.9,,,
GARMENTS,,2.172,48,CN,,0,,,6211110000,,,FASHION COMP WHOLESA,FASHION COMP A/S,63,50.24,,GARMENTS,2.58,,2.172,12,,48,1,CN,,0,,,4000,106198293,6211110000,100,XI,109.30,0.00,,,48,0.00,,,,0.00,9.6,,,
GARMENTS,,0.167,17.4,CN,,0,,,6211339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,64,18.21,,GARMENTS,0.187,,0.167,1,,17.4,1,CN,,0,,,4000,106198293,6211339000,100,XI,0.00,459.29,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,0.381,8.7,CN,,0,,,6217100090,,,FASHION COMP WHOLESA,FASHION COMP A/S,65,9.11,,GARMENTS,0.441,,0.381,3,,8.7,1,CN,,0,,,4000,106198293,6217100090,100,XI,127.14,0.00,,,8.7,0.00,,,,0.00,1.74,,,
GARMENTS,,0.61,10.5,CN,,0,,,6505003000,,,FASHION COMP WHOLESA,FASHION COMP A/S,66,10.99,,GARMENTS,0.73,,0.61,6,,10.5,1,CN,,0,,,4000,106198293,6505003000,100,XII,119.99,0.00,,,10.5,0.00,,,,0.00,2.1,,,
GARMENTS,,0.227,5.8,IN,,0,,,6104430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,67,6.07,,GARMENTS,0.26,,0.227,1,,5.8,1,IN,,0,,,4000,106198291,6104430000,100,XI,106.26,0.00,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.267,4,IN,,0,,,6104530000,,,FASHION COMP WHOLESA,FASHION COMP A/S,68,4.19,,GARMENTS,0.322,,0.267,1,,4,1,IN,,0,,,4000,106198291,6104530000,100,XI,0.00,260.13,,,4,0.00,,,,0.00,0.8,,,
GARMENTS,,0.548,5.8,IN,,0,,,6105100000,,,FASHION COMP WHOLESA,FASHION COMP A/S,69,6.07,,GARMENTS,0.588,,0.548,2,,5.8,1,IN,,0,,,4000,106198293,6105100000,100,XI,228.77,0.00,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.136,2.9,IN,,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,70,3.04,,GARMENTS,0.156,,0.136,1,,2.9,1,IN,,0,,,4000,106198291,6109100010,100,XI,114.10,0.00,,,2.9,0.00,,,,0.00,0.58,,,
GARMENTS,,0.496,11.6,IN,,0,,,6109100090,,,FASHION COMP WHOLESA,FASHION COMP A/S,71,12.14,,GARMENTS,0.58,,0.496,4,,11.6,1,IN,,0,,,4000,106198291,6109100090,100,XI,169.09,0.00,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,0.959,20.3,IN,,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,72,21.25,,GARMENTS,1.205,,0.959,7,,20.3,1,IN,,0,,,4000,106198291,6109902000,100,XI,0.00,280.42,,,20.3,0.00,,,,0.00,4.06,,,
GARMENTS,,0.287,17.4,IN,,0,,,6202301099,,,FASHION COMP WHOLESA,FASHION COMP A/S,73,18.21,,GARMENTS,0.307,,0.287,1,,17.4,1,IN,,0,,,4000,106198291,6202301099,100,XI,0.00,299.83,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,0.306,5.8,IN,,0,,,6204420090,,,FASHION COMP WHOLESA,FASHION COMP A/S,74,6.07,,GARMENTS,0.326,,0.306,1,,5.8,1,IN,,0,,,4000,106198291,6204420090,100,XI,0.00,391.20,,,5.8,0.00,,,,0.00,1.16,,,
GARMENTS,,0.566,11.6,IN,,0,,,6204440090,,,FASHION COMP WHOLESA,FASHION COMP A/S,75,12.14,,GARMENTS,0.606,,0.566,2,,11.6,1,IN,,0,,,4000,106198291,6204440090,100,XI,0.00,446.56,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,1.607,44.8,IN,,0,,,6204691890,,,FASHION COMP WHOLESA,FASHION COMP A/S,76,46.9,,GARMENTS,1.96,,1.607,7,,44.8,1,IN,,0,,,4000,106198291,6204691890,100,XI,0.00,322.41,,,44.8,0.00,,,,0.00,8.96,,,
GARMENTS,,1.286,28,IN,,0,,,6205200090,,,FASHION COMP WHOLESA,FASHION COMP A/S,77,29.31,,GARMENTS,1.366,,1.286,4,,28,1,IN,,0,,,4000,106198293,6205200090,100,XI,0.00,375.23,,,28,0.00,,,,0.00,5.6,,,
GARMENTS,,1.293,47.8,IN,,0,,,6206300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,78,50.04,,GARMENTS,1.541,,1.293,8,,47.8,1,IN,,0,,,4000,106198291,6206300090,100,XI,0.00,306.69,,,47.8,0.00,,,,0.00,9.56,,,
GARMENTS,,2.64,82.1,IN,,0,,,6206400000,,,FASHION COMP WHOLESA,FASHION COMP A/S,79,85.94,,GARMENTS,3.088,,2.64,17,,82.1,1,IN,,0,,,4000,106198291,6206400000,100,XI,154.68,0.00,,,82.1,0.00,,,,0.00,16.42,,,
GARMENTS,,1.3,35,IN,,0,,,6206901090,,,FASHION COMP WHOLESA,FASHION COMP A/S,80,36.64,,GARMENTS,1.51,,1.3,5,,35,1,IN,,0,,,4000,106198291,6206901090,100,XI,0.00,458.67,,,35,0.00,,,,0.00,7,,,
GARMENTS,,0.942,34.8,IN,,0,,,6403993600,,,FASHION COMP WHOLESA,FASHION COMP A/S,81,36.43,,GARMENTS,1.002,,0.942,3,,34.8,1,IN,,0,,,4000,106198293,6403993600,100,XII,0.00,212.52,,,34.8,0.00,,,,0.00,6.96,,,
GARMENTS,,0.23,8.7,KH,,0,,,6110309900,,,FASHION COMP WHOLESA,FASHION COMP A/S,82,9.11,,GARMENTS,0.25,,0.23,1,,8.7,1,KH,,0,,,4000,106198291,6110309900,100,XI,117.70,0.00,,,8.7,0.00,,,,0.00,1.74,,,
GARMENTS,,1.176,52.2,KH,,0,,,6202401091,,,FASHION COMP WHOLESA,FASHION COMP A/S,83,54.64,,GARMENTS,1.236,,1.176,3,,52.2,1,KH,,0,,,4000,106198291,6202401091,100,XI,0.00,365.83,,,52.2,0.00,,,,0.00,10.44,,,
GARMENTS,,0.5,11.6,KH,,0,,,6203329000,,,FASHION COMP WHOLESA,FASHION COMP A/S,84,12.14,,GARMENTS,0.52,,0.5,1,,11.6,1,KH,,0,,,4000,106198293,6203329000,100,XI,165.59,0.00,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,1.276,23.2,KH,,0,,,6203339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,85,24.29,,GARMENTS,1.316,,1.276,2,,23.2,1,KH,,0,,,4000,106198293,6203339000,100,XI,0.00,229.09,,,23.2,0.00,,,,0.00,4.64,,,
GARMENTS,,0.343,11.6,KH,,0,,,6203423500,,,FASHION COMP WHOLESA,FASHION COMP A/S,86,12.14,,GARMENTS,0.363,,0.343,1,,11.6,1,KH,,0,,,4000,106198293,6203423500,100,XI,161.34,0.00,,,11.6,0.00,,,,0.00,2.32,,,
GARMENTS,,0.476,7,KH,,0,,,6204623190,,,FASHION COMP WHOLESA,FASHION COMP A/S,87,7.33,,GARMENTS,0.496,,0.476,1,,7,1,KH,,0,,,4000,106198291,6204623190,100,XI,120.75,0.00,,,7,0.00,,,,0.00,1.4,,,
GARMENTS,,1.816,25.6,KH,,0,,,6204623990,,,FASHION COMP WHOLESA,FASHION COMP A/S,88,26.8,,GARMENTS,2.016,,1.816,4,,25.6,1,KH,,0,,,4000,106198291,6204623990,100,XI,0.00,233.93,,,25.6,0.00,,,,0.00,5.12,,,
GARMENTS,,0.484,17.4,MM,,0,,,6101309000,,,FASHION COMP WHOLESA,FASHION COMP A/S,89,18.21,,GARMENTS,0.504,,0.484,1,,17.4,1,MM,,0,,,4000,106198292,6101309000,100,XI,185.77,0.00,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,0.15,17.4,MM,,0,,,6110309100,,,FASHION COMP WHOLESA,FASHION COMP A/S,90,18.21,,GARMENTS,0.17,,0.15,1,,17.4,1,MM,,0,,,4000,106198292,6110309100,100,XI,0.00,306.66,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,1.334,34.8,MM,,0,,,6201401090,,,FASHION COMP WHOLESA,FASHION COMP A/S,91,36.43,,GARMENTS,1.374,,1.334,2,,34.8,1,MM,,0,,,4000,106198292,6201401090,100,XI,107.28,0.00,,,34.8,0.00,,,,0.00,6.96,,,
GARMENTS,,0.931,17.4,MM,,0,,,6210200010,,,FASHION COMP WHOLESA,FASHION COMP A/S,92,18.21,,GARMENTS,0.951,,0.931,1,,17.4,1,MM,,0,,,4000,106198292,6210200010,100,XI,0.00,203.35,,,17.4,0.00,,,,0.00,3.48,,,
GARMENTS,,0.505,14.5,PT,PT,0,,,4203300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,93,15.18,,GARMENTS,0.605,,0.505,5,,14.5,1,PT,PT,0,,,4000,106198293,4203300090,300,VIII,226.33,0.00,,,14.5,0.73,Duty,0.05,,0.73,2.9,,,
GARMENTS,,5.768,46.4,PT,PT,0,,,6403911690,,,FASHION COMP WHOLESA,FASHION COMP A/S,94,48.57,,GARMENTS,6.432,,5.768,4,,46.4,1,PT,PT,0,,,4000,106198293,6403911690,300,XII,0.00,472.12,,,46.4,0.93,Duty,0.02,,0.93,9.28,,,
GARMENTS,,11.697,150.8,PT,PT,0,,,6403999690,,,FASHION COMP WHOLESA,FASHION COMP A/S,95,157.85,,GARMENTS,13.569,,11.697,13,,150.8,1,PT,PT,0,,,5100,106198293,6403999690,300,XII,0.00,475.00,,,150.8,7.54,Duty,0.05,,0,30.16,,,
GARMENTS,,0.262,4,TR,,0,,,6104520000,,,FASHION COMP WHOLESA,FASHION COMP A/S,96,4.19,,GARMENTS,0.282,,0.262,1,,4,1,TR,,0,,,5100,106198291,6104520000,100,XI,144.37,0.00,,,4,0.00,,,,0,0.8,,,
GARMENTS,,0.095,11.6,TR,,0,,,6104620000,,,FASHION COMP WHOLESA,FASHION COMP A/S,97,12.14,,GARMENTS,0.108,,0.095,1,,11.6,1,TR,,0,,,5100,106198291,6104620000,100,XI,0.00,526.09,,,11.6,0.00,,,,0,2.32,,,
GARMENTS,,0.226,2.9,TR,,0,,,6106100000,,,FASHION COMP WHOLESA,FASHION COMP A/S,98,3.04,,GARMENTS,0.246,,0.226,1,,2.9,1,TR,,0,,,5100,106198291,6106100000,100,XI,149.64,0.00,,,2.9,0.00,,,,0,0.58,,,
GARMENTS,,83.475,3246.03,BD,BD,0,,,6105201000,,,FASHION COMP WHOLESA,FASHION COMP A/S,1,3277.52,,GARMENTS,108.332,,83.475,371,,3246.03,1,BD,BD,0,,,5100,106202849,6105201000,200,XI,0.00,207.13,,,3246.03,129.84,Duty,0.04,,0,649.206,,,
GARMENTS,,43.259,1442.17,BD,BD,0,,,6109100010,,,FASHION COMP WHOLESA,FASHION COMP A/S,2,1456.16,,GARMENTS,51.076,,43.259,213,,1442.17,1,BD,BD,0,,,4000,106202849,6109100010,200,XI,0.00,430.85,,,1442.17,86.53,Duty,0.06,,86.53,288.434,,,
GARMENTS,,10.12,300.91,BD,BD,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,3,303.83,,GARMENTS,11.44,,10.12,44,,300.91,1,BD,BD,0,,,4000,106202849,6109902000,200,XI,0.00,414.81,,,300.91,18.05,Duty,0.06,,18.05,60.182,,,
GARMENTS,,3.21,95.16,BD,BD,0,,,6110209100,,,FASHION COMP WHOLESA,FASHION COMP A/S,4,96.08,,GARMENTS,3.625,,3.21,5,,95.16,1,BD,BD,0,,,4000,106202849,6110209100,200,XI,236.15,0.00,,,95.16,5.71,Duty,0.06,,5.71,19.032,,,
GARMENTS,,4.31,177.61,BD,BD,0,,,6203423500,,,FASHION COMP WHOLESA,FASHION COMP A/S,5,179.33,,GARMENTS,4.94,,4.31,10,,177.61,1,BD,BD,0,,,4000,106202849,6203423500,200,XI,164.21,0.00,,,177.61,3.55,Duty,0.02,,3.55,35.522,,,
GARMENTS,,42.35,1285.89,BD,BD,0,,,6203429000,,,FASHION COMP WHOLESA,FASHION COMP A/S,6,1298.36,,GARMENTS,49.973,,42.35,121,,1285.89,1,BD,BD,0,,,4000,106202849,6203429000,200,XI,0.00,487.51,,,1285.89,77.15,Duty,0.06,,77.15,257.178,,,
GARMENTS,,22.44,724.88,BD,BD,0,,,6205200090,,,FASHION COMP WHOLESA,FASHION COMP A/S,7,731.91,,GARMENTS,25.84,,22.44,68,,724.88,1,BD,BD,0,,,5100,106202849,6205200090,200,XI,124.71,0.00,,,724.88,14.50,Duty,0.02,,0,144.976,,,
GARMENTS,,5.753,195.37,CN,,0,,,6104420000,,,FASHION COMP WHOLESA,FASHION COMP A/S,8,197.27,,GARMENTS,6.6,,5.753,11,,195.37,1,CN,,0,,,5100,106202848,6104420000,100,XI,131.73,0.00,,,195.37,0.00,,,,0,39.074,,,
GARMENTS,,0.999,45.09,CN,,0,,,6104430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,9,45.53,,GARMENTS,1.2,,0.999,3,,45.09,1,CN,,0,,,5100,106202848,6104430000,100,XI,144.34,0.00,,,45.09,0.00,,,,0,9.018,,,
GARMENTS,,2.2,144.5,CN,,0,,,6109902000,,,FASHION COMP WHOLESA,FASHION COMP A/S,10,145.9,,GARMENTS,2.64,,2.2,22,,144.5,1,CN,,0,,,5100,106202848,6109902000,100,XI,111.32,0.00,,,144.5,0.00,,,,0,28.9,,,
GARMENTS,,0.81,36.9,CN,,0,,,6110309900,,,FASHION COMP WHOLESA,FASHION COMP A/S,11,37.26,,GARMENTS,0.96,,0.81,3,,36.9,1,CN,,0,,,5100,106202848,6110309900,100,XI,0.00,276.80,,,36.9,0.00,,,,0,7.38,,,
GARMENTS,,17.1,856.74,CN,,0,,,6114300000,,,FASHION COMP WHOLESA,FASHION COMP A/S,12,865.05,,GARMENTS,19.95,,17.1,57,,856.74,1,CN,,0,,,5100,106202848,6114300000,100,XI,228.65,0.00,,,856.74,0.00,,,,0,171.348,,,
GARMENTS,,11.172,287,CN,,0,,,6204339000,,,FASHION COMP WHOLESA,FASHION COMP A/S,13,289.78,,GARMENTS,12.572,,11.172,14,,287,1,CN,,0,,,4000,106202848,6204339000,100,XI,240.06,0.00,,,287,0.00,,,,0.00,57.4,,,
GARMENTS,,39.234,1813.54,CN,,0,,,6204430000,,,FASHION COMP WHOLESA,FASHION COMP A/S,14,1831.13,,GARMENTS,43.752,,39.234,89,,1813.54,1,CN,,0,,,4000,106202848,6204430000,100,XI,0.00,470.82,,,1813.54,0.00,,,,0.00,362.708,,,
GARMENTS,,81.564,4068.87,CN,,0,,,6204440090,,,FASHION COMP WHOLESA,FASHION COMP A/S,15,4108.34,,GARMENTS,90.9,,81.564,232,,4068.87,1,CN,,0,,,4000,106202848,6204440090,100,XI,0.00,220.50,,,4068.87,0.00,,,,0.00,813.774,,,
GARMENTS,,46.012,2097.76,CN,,0,,,6204530090,,,FASHION COMP WHOLESA,FASHION COMP A/S,16,2118.11,,GARMENTS,55.5,,46.012,185,,2097.76,1,CN,,0,,,4000,106202848,6204530090,100,XI,0.00,339.01,,,2097.76,0.00,,,,0.00,419.552,,,
GARMENTS,,10.378,285.58,CN,,0,,,6204631890,,,FASHION COMP WHOLESA,FASHION COMP A/S,17,288.35,,GARMENTS,12.459,,10.378,19,,285.58,1,CN,,0,,,4000,106202848,6204631890,100,XI,0.00,346.50,,,285.58,0.00,,,,0.00,57.116,,,
GARMENTS,,1.51,88.97,CN,,0,,,6206400000,,,FASHION COMP WHOLESA,FASHION COMP A/S,18,89.83,,GARMENTS,1.65,,1.51,5,,88.97,1,CN,,0,,,4000,106202849,6206400000,100,XI,0.00,285.06,,,88.97,0.00,,,,0.00,17.794,,,
GARMENTS,,1.35,61.5,IN,IN,0,,,6204420090,,,FASHION COMP WHOLESA,FASHION COMP A/S,19,62.1,,GARMENTS,1.5,,1.35,3,,61.5,1,IN,IN,0,,,4000,106202848,6204420090,200,XI,0.00,407.51,,,61.5,3.08,Duty,0.05,,3.08,12.3,,,
GARMENTS,,2.56,153.04,IN,IN,0,,,6206300090,,,FASHION COMP WHOLESA,FASHION COMP A/S,20,154.52,,GARMENTS,2.96,,2.56,8,,153.04,1,IN,IN,0,,,4000,106202848,6206300090,200,XI,0.00,382.18,,,153.04,9.18,Duty,0.06,,9.18,30.608,,,
GARMENTS,,1.85,49.28,TR,TR,0,,,6107110000,,,FASHION COMP WHOLESA,FASHION COMP A/S,21,49.76,,GARMENTS,2.1,,1.85,5,,49.28,1,TR,TR,0,,,4000,106202849,6107110000,300,XI,0.00,436.13,,,49.28,0.99,Duty,0.02,,0.99,9.856,,,
GARMENTS,,1.48,67.08,VN,,0,,,6205200090,,,FASHION COMP WHOLESA,FASHION COMP A/S,22,67.73,,GARMENTS,1.815,,1.48,5,,67.08,1,VN,,0,,,5100,106202849,6205200090,100,XI,141.36,0.00,,,67.08,0.00,,,,0,13.416,,,
GARMENTS,,79.804,2037.7,BD,BD,0,,,6104520000,,,FASHION COMP WHOLESA,FASHION COMP A/S,1,2049.25,,GARMENTS,91.732,,79.804,284,,2037.7,1,BD,BD,0,,,5100,106202809,6104520000,200,XI,0.00,439.96,,,2037.7,40.75,Duty,0.02,,0,407.54,,,
GARMENTS,,232.226,7567.04,BD,BD,0,,,6105100000,,,FASHION COMP WHOLESA,FASHION COMP A/S,2,7609.92,,GARMENTS,269.158,,232.226,1018,,7567.04,1,BD,BD,0,,,5100,106202810,6105100000,200,XI,195.00,0.00,,,7567.04,151.34,Duty,0.02,,0,1513.408,,,
